Año	Turismos	Autobuses	Motocicletas	Camiones	Tractores industriales	Ciclomotores	Otros	Total
2011	2402574	6111	523361	513009	15490	209763	97125	3767433
2012	2393017	5965	531934	504822	14692	202007	95333	3747770
2013	2366511	5879	538926	493579	14092	193473	92739	3705199
2014	2347766	5902	551787	484340	14046	186888	92008	3682737
2015	2385649	5971	571878	488554	14535	181630	91445	3739662
2016	2437180	6086	598837	493881	15250	177451	93240	3821925
