Date;Dow Jones Industrial Average TR;Dow Jones Industrial Average NTR;Dow Jones Industrial Average
7/29/19;60847,93;52651,09;27221,35
7/30/19;60795,78;52605,97;27198,02
7/31/19;60049,75;51960,43;26864,27
8/1/19;59427,43;51420,53;26583,42
8/2/19;59207,43;51230,17;26485,01
8/5/19;57492,2;49746,04;25717,74
8/6/19;58193,96;50352,01;26029,52
8/7/19;58143,77;50308,58;26007,07
8/8/19;59037,24;51065,1;26378,19
8/9/19;58845,83;50896,51;26287,44
8/12/19;58008,22;50168,62;25907,37
8/13/19;58842,37;50890,04;26279,91
8/14/19;57056,99;49344,14;25479,42
8/15/19;57317,69;49560,04;25579,39
8/16/19;58022,84;50165,06;25886,01
8/19/19;58589,69;50653,34;26135,79
8/20/19;58201,08;50317,37;25962,44
8/21/19;58739,75;50783,07;26202,73
8/22/19;58850,74;50879,03;26252,24
8/23/19;57453,35;49670,93;25628,9
8/26/19;58072,91;50202,81;25898,83
8/27/19;57801,76;49968,41;25777,9
8/28/19;58380,71;50468,9;26036,1
8/29/19;59141,7;51119,07;26362,25
8/30/19;59254,75;51211,34;26403,28
9/3/19;58614,57;50658,06;26118,02
9/4/19;59168,15;51131,12;26355,47
9/5/19;60004,81;51854,14;26728,15
9/6/19;60160,42;51988,62;26797,46
9/9/19;60258,33;52069,98;26835,51
9/10/19;60424,32;52213,42;26909,43
9/11/19;60935,41;52655,06;27137,04
9/12/19;61037,37;52743,17;27182,45
9/13/19;61151,51;52833,78;27219,52
9/16/19;60830,93;52556,81;27076,82
9/17/19;60907,27;52622,76;27110,8
9/18/19;60988,78;52693,19;27147,08
9/19/19;60871,31;52591,69;27094,79
9/20/19;60512,48;52281,67;26935,07
9/23/19;60546;52310,63;26949,99
9/24/19;60226,49;52034,58;26807,77
9/25/19;60592,55;52350,85;26970,71
9/26/19;60413,75;52196,37;26891,12
9/27/19;60254,52;52058,8;26820,25
9/30/19;60471,49;52246,26;26916,83
10/1/19;59699,14;51578,96;26573,04
10/2/19;58588,37;50619,28;26078,62
10/3/19;58889;50872,38;26201,04
10/4/19;59726,62;51595,98;26573,72
10/7/19;59511,54;51410,17;26478,02
10/8/19;58805,84;50800,54;26164,04
10/9/19;59224,2;51159,52;26346,01
10/10/19;59562,89;51452,09;26496,67
10/11/19;60282,04;52073,31;26816,59
10/14/19;60216,33;52016,54;26787,36
10/15/19;60750,08;52477,62;27024,8
10/16/19;60698,78;52433,3;27001,98
10/17/19;60763,89;52486,6;27025,88
10/18/19;60204,72;51999,53;26770,2
10/21/19;60333,91;52111,12;26827,64
10/22/19;60244,99;52034,31;26788,1
10/23/19;60348,1;52123,37;26833,95
10/24/19;60284,19;52068,17;26805,53
10/25/19;60627,22;52364,45;26958,06
10/28/19;60925,57;52622,13;27090,72
10/29/19;60882,16;52584,65;27071,42
10/30/19;61141,39;52808,54;27186,69
10/31/19;60825,51;52535,71;27046,23
11/1/19;61502,73;53120,64;27347,36
11/4/19;61760,81;53343,54;27462,11
11/5/19;61829,44;53402,82;27492,63
11/6/19;61834,09;53405,59;27492,56
11/7/19;62317,26;53803,91;27674,8
11/8/19;62345,06;53824,47;27681,24
11/11/19;62368,12;53844,38;27691,49
11/12/19;62368,12;53844,38;27691,49
11/13/19;62575,56;54023,47;27783,59
11/14/19;62587,7;54029,85;27781,96
11/15/19;63115,09;54478,62;28004,89
11/18/19;63185,71;54539,57;28036,22
11/19/19;62955,36;54340,74;27934,02
11/20/19;62708,66;54125,78;27821,09
11/21/19;62607,16;54032,47;27766,29
11/22/19;62853,67;54245,22;27875,62
11/25/19;63298,52;54625,38;28066,47
11/26/19;63423,03;54732,83;28121,68
11/27/19;63529,19;54821,67;28164
11/29/19;63323,35;54631,59;28051,41
12/2/19;62717,53;54108,92;27783,04
12/3/19;62084,91;53563,14;27502,81
12/4/19;62437,51;53861,95;27649,78
12/5/19;62508,87;53921,41;27677,79
12/6/19;63287,14;54588,48;28015,06
12/9/19;63061,46;54390,57;27909,6
12/10/19;62998,48;54336,24;27881,72
12/11/19;63065,29;54393,87;27911,3
12/12/19;63564,09;54824,09;28132,05
12/13/19;63594,43;54844,35;28135,38
12/16/19;63821,62;55040,28;28235,89
12/17/19;63892,29;55101,22;28267,16
12/18/19;63829,29;55046,89;28239,28
12/19/19;64140,48;55315,26;28376,96
12/20/19;64317,08;55467,56;28455,09
12/23/19;64535,07;55655,56;28551,53
12/24/19;64453,51;55585,23;28515,45
12/26/19;64692,96;55791,73;28621,39
12/27/19;64746,92;55838,27;28645,26
12/30/19;64333,02;55481,31;28462,14
12/31/19;64505,48;55630,04;28538,44
1/2/20;65264,15;56281,23;28868,8
1/3/20;64749,13;55833,53;28634,88
1/6/20;64904,02;55967,09;28703,38
1/7/20;64633,34;55733,69;28583,68
1/8/20;64998,33;56048,42;28745,09
1/9/20;65486,7;56467,1;28956,9
1/10/20;65185,62;56207,49;28823,77
1/13/20;65373,97;56369,9;28907,05
1/14/20;65447,74;56433,51;28939,67
1/15/20;65652,51;56610,07;29030,22
1/16/20;66257,29;57131,55;29297,64
1/17/20;66387,2;57239,49;29348,1
1/21/20;66043,24;56942,92;29196,04
1/22/20;66021,15;56923,87;29186,27
1/23/20;65973,37;56879,72;29160,09
1/24/20;65587,92;56547,4;28989,73
1/27/20;64560,93;55661,96;28535,8
1/28/20;64984,12;56026,83;28722,85
1/29/20;65010,36;56049,45;28734,45
1/30/20;65298,99;56296,79;28859,44
1/31/20;63933,68;55119,7;28256,03
2/3/20;64259,01;55400,18;28399,81
2/4/20;65181,75;56195,71;28807,63
2/5/20;66275,13;57138,35;29290,85
2/6/20;66481,37;57314,86;29379,77
2/7/20;65890,67;56796,11;29102,51
2/10/20;66298,67;57144,34;29276,82
2/11/20;66297,59;57143,41;29276,34
2/12/20;66920,53;57680,34;29551,42
2/13/20;66700,44;57472,53;29423,31
2/14/20;66663,08;57435,21;29398,08
2/18/20;66293,94;57115,35;29232,19
2/19/20;66564,49;57346,42;29348,03
2/20/20;66274,07;57096,21;29219,98
2/21/20;65757,9;56651,53;28992,41
2/24/20;63432,74;54644,58;27960,8
2/25/20;61437,61;52925,86;27081,36
2/26/20;61156,81;52683,97;26957,59
2/27/20;58465,76;50362,96;25766,64
2/28/20;57697,31;49690,09;25409,36
3/2/20;60635,53;52220,55;26703,32
3/3/20;58850,95;50683,63;25917,41
3/4/20;61515,51;52978,4;27090,86
3/5/20;59313,88;51082,32;26121,28
3/6/20;58731,44;50580,71;25864,78
3/9/20;54171,4;46650,25;23851,02
3/10/20;56822,26;48933,06;25018,16
3/11/20;53518,12;46081,7;23553,22
3/12/20;48172,51;41478,86;21200,62
3/13/20;52715,23;45382,01;23185,62
3/16/20;45900,97;39515,68;20188,52
3/17/20;48285,67;41568,65;21237,38
3/18/20;45242,53;38948,84;19898,92
3/19/20;45678,92;39322,37;20087,19
3/20/20;43602,23;37534,67;19173,98
3/23/20;42278,64;36395,27;18591,93
3/24/20;47083,63;40531,61;20704,91
3/25/20;48210,73;41501,86;21200,55
